6	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S C S S S S S S S S S S S S S S 	1
6	D 	D C 	S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S 	1
6	C 	D C 	S D S S S C S S S S S S S S S S S S S S S D S S S S S S S S S S S S C S S S S S S S S S S S S S S S 	1
6	C 	D C 	S D S S S S S S S S S S D S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S 	1
6	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S D S S S S S 	1
6	D 	D C 	S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
6	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S S S S 	1
6	C 	D C 	S S S S S S S S C S C S S S S C S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S 	1
6	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S D S C S S S S S S 	1
6	C 	D C 	S S S C S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
6	D 	D C 	S S S S S S S S S S S S S S S S C S S S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
6	C 	D C 	D S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S C S S S S S S S S S S S S S S 	1
6	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C C S S S S S S S S S S S S 	2
6	D 	D C 	S S S S S C S S S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
6	D 	D C 	S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S D C S S S S S S S S S S S S S S S 	1
6	C C 	D C D C 	C S S S S S D S S S S S C S S S S S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
6	C 	D C 	S S S S S S S S D S D S C C S S S S S S S C S S S S S S S S S S S S S S S S S S S S S D S S S S S S 	1
6	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S C S S S S S S S S S S S S S S 	1
6	C C 	D C D C 	C S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S 	1
6	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S C S 	1
6	C 	D C 	D S S S S S S S S S S S S S S D S S S S S S S S S S S S S S C S S S D S S S S S C S S D S S S S S S 	1
6	C 	D C 	S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S D S 	1
6	D 	D C 	S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S 	1
6	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S C S 	1
6	C 	D C 	S S S C S S S S S S S S S C S S S S S S S S S S S S D S S S S D S S S S C C S S S S S S S S S S S S 	1
6	C 	D C 	S S S S S D S S D S S S S S S C S S S S S S S S S D S S S S S S S S S S S S S S S S D S D S S S S S 	1
6	C 	D C 	S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S 	1
6	D 	D C 	S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
6	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S D S S 	1
6	C 	D C 	S S S S S D S S S S C S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	2
6	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S D S S 	1
6	C 	D C 	S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S 	1
6	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S D S S S S 	1
6	C 	D C 	S S S S S S S S S S S S S S S S S S S D S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S 	1
